doi,url,title,authors,year,venue,pub_status,text_basis,design,n,population,ai_exposure,measures,key_finding,effect_size,exposure_duration,limitations,causal_language,benefit_domain,caveat_flags
10.1126/science.adq1814,https://doi.org/10.1126/science.adq1814,Durably reducing conspiracy beliefs through dialogues with AI,Thomas H. Costello; Gordon Pennycook; David G. Rand,2024,Science,peer-reviewed,abstract only (PubMed abstract; no PMC full text available),"Experiment; participants engaged in personalised evidence-based dialogues with GPT-4 Turbo, with 2-month follow-up","2,190 conspiracy believers",Adults not explicitly stated in retrieved text; described as '2190 conspiracy believers' engaged online,"Personalised, evidence-based dialogue with GPT-4 Turbo about the participant's own conspiracy belief",Belief in the target conspiracy; belief in unrelated conspiracies; conspiracy-related behavioural intentions,"Authors: 'The intervention reduced conspiracy belief by ~20%. The effect remained 2 months later, generalized across a wide range of conspiracy theories, and occurred even among participants with deeply entrenched beliefs.' They conclude findings 'suggest that many conspiracy theory believers can revise their views if presented with sufficiently compelling evidence.'",'reduced conspiracy belief by ~20%' (abstract); no CI or p-value in retrieved text,Single session (one dialogue); durability measured 2 months later,not reported in retrieved text (limitations section not in retrieved abstract),causal (randomised) — intervention vs control described as an experiment in the abstract; randomisation procedure not described in retrieved text,a,Full text not retrieved (abstract only); effect reported as a single percentage without dispersion in the retrieved text
10.1093/pnasnexus/pgaf325,https://doi.org/10.1093/pnasnexus/pgaf325,Dialogues with large language models reduce conspiracy beliefs even when the AI is perceived as human,Esther Boissin; Thomas H. Costello; Daniel Spinoza-Martín et al.,2025,PNAS Nexus,peer-reviewed,full text (PMC12578366),Preregistered randomised experiment; 2x2 (messenger framed as AI tool vs human expert) x (human-like vs neutral tone),955,Adults not explicitly stated in retrieved text; online participants reporting a conspiracy or epistemically unwarranted belief,LLM dialogue arguing against the participant's stated belief using facts and evidence,"Confidence/certainty in the stated conspiracy belief or epistemically unwarranted belief, pre vs post","Authors: 'The conversations significantly reduced participants' confidence in both conspiracies and epistemically unwarranted beliefs, with no significant differences across conditions.' They conclude AI persuasion 'succeeds by generating compelling messages' rather than depending on the messenger being an AI.","'the decrease in belief certainty was significantly greater among participants who shared a conspiracy theory (10 points, 11.81% decrease) compared to those who shared a general ""epistemically weak"" belief (5 points, 5.96% decrease); = 5.11, 95% CI (2.75, 7.48), < 0.001' [test-statistic and P glyphs dropped in retrieved PMC text]; 'Across all conditions, the conversation significantly reduced participants' belief (all < 0.018 ...)'",Single session; no follow-up reported in retrieved text,not reported in retrieved text (no limitations section located in the retrieved PMC text),causal (randomised) — preregistered experiment with randomised messenger framing,a,"Single session, no durability follow-up; outcome is self-reported belief certainty"
10.1038/s41562-025-02194-6,https://doi.org/10.1038/s41562-025-02194-6,On the conversational persuasiveness of GPT-4,Francesco Salvi; Manoel Horta Ribeiro; Riccardo Gallotti et al.,2025,Nature Human Behaviour,peer-reviewed,full text (PMC12367540),Preregistered randomised 2x2x3 experiment; short multiround online debates,900,Adults not explicitly stated in retrieved text; online participants,Multiround text debate against GPT-4 (with or without access to the participant's sociodemographic data) or a human opponent,Post-debate agreement with the debate proposition (opinion change),"Authors: 'In debate pairs where AI and humans were not equally persuasive, GPT-4 with personalization was more persuasive 64.4% of the time'. Framed by the authors as evidence on misuse risk, not as a cognitive benefit.","'64.4% of the time (81.2% relative increase in odds of higher post-debate agreement; 95% confidence interval [+26.0%, +160.7%], P < 0.01; N = 900)'",Single session (short multiround debate),Authors note (in retrieved text) that constraints on prior persuasion research 'may soon fall off' with LLMs; a dedicated limitations statement was not isolated in the retrieved text,causal (randomised),a,"Persuasion is direction-agnostic: the study measures attitude change, not accuracy or reasoning quality; authors frame it as a misuse risk"
10.1073/pnas.2403116121,https://doi.org/10.1073/pnas.2403116121,Evaluating the persuasive influence of political microtargeting with large language models,Kobi Hackenburg; Helen Margetts,2024,PNAS,peer-reviewed,full text (PMC11181035),Preregistered randomised controlled experiment with a custom web application generating real-time GPT-4 messages,"8,587",Adults not explicitly stated in retrieved text; Prolific crowdsourced sample (authors note it 'skewed liberal and Democratic'),"Single GPT-4-generated persuasive message on one of four political issues, microtargeted or not",Self-reported support for the issue stance (percentage-point change),"Authors: 'messages generated by GPT-4 were broadly persuasive, in some cases increasing support for an issue stance by up to 12 percentage points'; but 'in aggregate, the persuasive impact of microtargeted messages was not statistically different from that of non-microtargeted messages'. They conclude LLM influence 'may reside not in their ability to tailor messages to individuals but rather in the persuasiveness of their generic, nontargeted messages.'","'4.83 vs. 6.20 percentage points, respectively, = 0.226' [P glyph dropped in retrieved PMC text]; 'up to 12 percentage points' for overall persuasion",Single session (single message exposure),"Authors: 'This study faced several limitations. First, we used a convenience sample from the crowd-sourcing platform Prolific which, while balanced on the basis of sex, skewed liberal and Democratic. ... Second, while this analysis considered the main effects of microtargeting on the basis of a given attribute, there could also exist interaction effects between these attributes'",causal (randomised),a,Key result is a NULL for microtargeting; outcome is self-reported issue support measured immediately
10.1126/science.aea3884,https://doi.org/10.1126/science.aea3884,The levers of political persuasion with conversational artificial intelligence,Kobi Hackenburg; Ben M Tappin; Luke Hewitt et al.,2025,Science,peer-reviewed,abstract only (PubMed abstract; no PMC full text retrieved),"Three large-scale experiments deploying 19 LLMs across 707 political issues, plus fact-checking of 466,769 LLM claims","76,977 participants",Adults not explicitly stated in retrieved text; large-scale experimental participants,"Conversational exchanges with 19 LLMs, some post-trained explicitly for persuasion, under varied prompting/personalisation/scale conditions",Persuasiveness (attitude change) on political issues; factual accuracy of LLM claims,"Authors: persuasive power 'is likely to stem more from post-training and prompting methods ... than from personalization or increasing model scale'; and 'notably, where they increased AI persuasiveness, they also systematically decreased factual accuracy.'","'boosted persuasiveness by as much as 51 and 27%, respectively' (post-training and prompting); no CI or p-value in retrieved text",Single session (conversation) per the retrieved text,not reported in retrieved text,causal (randomised) — described as large-scale experiments; randomisation details not in retrieved text,a,Abstract only; the persuasion gain is coupled to a documented LOSS of factual accuracy — this is a harm-side result inside the persuasion literature
10.1145/3544548.3580672,https://doi.org/10.1145/3544548.3580672,"Don't Just Tell Me, Ask Me: AI Systems that Intelligently Frame Explanations as Questions Improve Human Logical Discernment Accuracy over Causal AI explanations",Valdemar Danry; Pat Pataranutaporn; Yaoli Mao et al.,2023,CHI Conference on Human Factors in Computing Systems,peer-reviewed,"abstract only (OpenAlex abstract; full text not retrievable — ACM DL blocked, no arXiv version found)",Between-subjects experiment comparing AI-framed Questioning vs causal AI explanations vs no feedback,204 participants,Adults not explicitly stated in retrieved text,AI system that converts classification-relevant information into questions ('AI-framed Questioning') during a discernment task,Discernment of the logical validity of socially divisive statements,"Authors: 'compared to no feedback and even causal AI explanations of an always correct system, AI-framed Questioning significantly increase human discernment of logically flawed statements.'",not reported in retrieved text,Single session,not reported in retrieved text,causal (randomised) — between-condition comparison described as a study; randomisation not stated in retrieved text,c (also a),"Abstract only; no effect size retrieved; comparator AI is an 'always correct system', not a real-world alternative resource"
10.1145/3706598.3713408,https://doi.org/10.1145/3706598.3713408,Deceptive Explanations by Large Language Models Lead People to Change their Beliefs About Misinformation More Often than Honest Explanations,Valdemar Danry; Pat Pataranutaporn; Matthew Groh et al.,2025,CHI Conference on Human Factors in Computing Systems,peer-reviewed,abstract only (abstract retrieved via Unpaywall metadata; PDF not retrievable),Pre-registered online experiment,"589 participants; 11,780 observations",Adults not explicitly stated in retrieved text; online participants,LLM-generated explanations (deceptive vs honest) accompanying true/false news-headline classifications,Belief in true and false news headlines; credibility ratings of explanations,"Authors: 'AI-generated deceptive explanations can significantly amplify belief in false news headlines and undermine true ones as compared to AI systems that simply classify the headline incorrectly'; but 'logically invalid explanations are deemed less credible - diminishing the effects of deception', which they read as supporting teaching of logical reasoning and critical thinking.",not reported in retrieved text,Single session,not reported in retrieved text,causal (randomised) — pre-registered experiment; randomisation details not in retrieved text,a (counter-evidence),Abstract only; primarily a HARM finding — included because it bounds the belief-revision benefit claim
10.1126/sciadv.adn5290,https://doi.org/10.1126/sciadv.adn5290,Generative AI enhances individual creativity but reduces the collective diversity of novel content,Anil R. Doshi; Oliver Hauser,2024,Science Advances,peer-reviewed,full text (PMC11244532),"Randomised online experiment (writers randomised to Human-only, Human with one GenAI idea, Human with five GenAI ideas) plus separate evaluator study","293 writers (recruited from 500 Prolific participants); 600 evaluators; 3,519 evaluations",Adults not explicitly stated in retrieved text; Prolific participants; authors note they 'do not study professional writers or unusually creative individuals',Option to request one or up to five GPT-4 story ideas before writing an eight-sentence story,"Human-rated novelty, usefulness, writing quality and enjoyment of stories; embedding cosine similarity between stories (collective diversity); Divergent Association Task (DAT) as individual creativity covariate","Authors: 'access to generative AI ideas causes stories to be evaluated as more creative, better written, and more enjoyable, especially among less creative writers. However, generative AI-enabled stories are more similar to each other than stories by humans alone.' They describe this as 'an increase in individual creativity at the risk of losing collective novelty' resembling 'a social dilemma'.","Novelty: 'one GenAI idea condition experience an increase of 5.4% (= 0.207, = 0.021 ...)' and 'five GenAI ideas condition show an increase in novelty of 8.1% (= 0.311, < 0.001)' [coefficient/P glyphs dropped in retrieved PMC text]; collective similarity: 'the increase in similarity from having access to one or five generative AI ideas represents 10.7% and 8.9% of the total range, respectively'",Single session,"Authors: 'our study has limitations in that the creative task is constrained in its length' and '(limitations on population representativeness) — that is, we do not study professional writers or unusually creative individuals.'",causal (randomised) — authors state they 'study the causal impact of generative AI ideas',b (with individual-level benefit),"Single session; collective-diversity measure is a cross-sectional similarity statistic within one experiment, not a population over time"
10.1145/3635636.3656204,https://doi.org/10.1145/3635636.3656204,Homogenization Effects of Large Language Models on Human Creative Ideation,Barrett R. Anderson; Jash Hemant Shah; Max Kreminski,2024,ACM Creativity and Cognition (C&C '24),peer-reviewed,full text of the arXiv preprint version (arXiv:2402.01536) of the same work; published ACM version not retrievable,Within/between comparative user study of two creativity-support tools (ChatGPT vs an alternative CST),36 participants,Adults not explicitly stated in retrieved text,"ChatGPT used as a creativity-support tool for divergent ideation, compared against an alternative (non-LLM) CST",Semantic similarity/distance between ideas within and across users (homogenisation); idea count and detail; self-reported creativity and ownership,"Authors: 'different users tended to produce less semantically distinct ideas with ChatGPT than with an alternative CST. Additionally, ChatGPT users generated a greater number of more detailed ideas, but felt less responsible for the ideas they generated.' They conclude 'LLM-driven homogenization stems from the LLM providing different users with similar ideas, rather than by increasing individual user-level fixation'.",not reported in retrieved text (numeric test statistics not isolated in the retrieved text),Single session,Authors discuss the limitation that current CST design may need to move 'toward a view of creativity support as intent elicitation ... with the goal of getting users to think more rather than less about each creative decision',causal (randomised) — controlled comparative user study; randomisation procedure not isolated in retrieved text,b,Small sample (n=36); text basis is the preprint version; effect sizes not extracted
10.48550/arxiv.2309.05196,https://doi.org/10.48550/arxiv.2309.05196,Does Writing with Language Models Reduce Content Diversity?,Vishakh Padmakumar; He He,2023,arXiv (preprint; subsequently presented at ICLR 2024 per the authors' listing — publication status not confirmed in retrieved record),preprint,full text (arXiv PDF),"Controlled experiment with three co-writing setups: base LLM (GPT3), feedback-tuned LLM (InstructGPT), no model help",38 writers recruited from Upwork; 100 essays per group on 10 topics,"Adults not explicitly stated in retrieved text; paid Upwork freelancers, native English speakers with writing/copyediting experience",Co-writing argumentative essays with GPT3 or InstructGPT suggestions,"Purpose-built diversity metrics: inter-author similarity, lexical diversity, content diversity; decomposition into model- vs user-contributed text","Authors: 'writing with InstructGPT (but not the GPT3) results in a statistically significant reduction in diversity ... this effect is mainly attributable to InstructGPT contributing less diverse text to co-written essays. In contrast, the user-contributed text remains unaffected by model collaboration.' They hedge that recent quality gains from human-feedback tuning 'might come at the cost of more homogeneous and less diverse content.'",'key points have higher average homogenization than GPT3 (p < 0.05)'; other comparisons reported as 'statistically significant with p < 0.05' without effect magnitudes in the retrieved text,Single session,Authors: 'We detail further limitations of our study in Appendix D.' (appendix content not extracted),causal (randomised) — controlled experiment across three writing setups,b,"PREPRINT; very small writer sample (n=38); diversity effect driven by model-generated text, not by change in human output"
