doi,cite,axis,direction,veracity,synthesis,timing,url,venue,n
10.1001/jama.2023.22295,Jabbour et al. 2023,b,mixed,sabotaged,False,with,https://doi.org/10.1001/jama.2023.22295,JAMA,"457 clinicians randomized and completed at least 1 vignette; 231 randomized to AI model predictions without explanations, 226 randomized to AI model predictions with explanations. Unit of vignettes: 9 clinical vignettes per clinician (2 baseline, 6 with AI input: 3 standard-model, 3 systematically biased)"
10.1001/jamanetworkopen.2024.40969,Goh et al. 2024,b,null,normal,False,with,https://doi.org/10.1001/jamanetworkopen.2024.40969,JAMA Network Open,"50 participants total (25 LLM group, 25 control group); unit of analysis also includes cases: 244 cases completed (125 LLM group, 119 control group); LLM-alone arm: 3 runs per case"
10.1002/jcal.70322,Melanou et al. 2026,a,null,normal,False,after,https://doi.org/10.1002/jcal.70322,Journal of Computer Assisted Learning,N = 87 (total); per-arm Ns not reported in retrieved text
10.1007/s10796-026-10804-5,Subramanya et al. 2026,unclassifiable,unclassifiable,normal,False,with,https://doi.org/10.1007/s10796-026-10804-5,Information Systems Frontiers,N = 143 knowledge workers (total); per-arm/subgroup Ns not reported in retrieved text
10.1016/j.chb.2024.108386,Stadler et al. 2024,a,negative,normal,False,with,https://doi.org/10.1016/j.chb.2024.108386,Computers in Human Behavior,91 university students total; per-arm Ns not reported in retrieved text
10.1016/s2468-1253(25)00133-5,Budzyń et al. 2025,a,negative,normal,False,after,https://doi.org/10.1016/s2468-1253(25)00133-5,"'The ""Lancet. Gastroenterology & hepatology","1443 colonoscopies (unit is colonoscopies, not distinct participants explicitly confirmed); n=795 before AI exposure, n=648 after AI exposure"
10.1038/s41562-024-02024-1,Vaccaro et al. 2024,a,mixed,normal,True,n/a,https://doi.org/10.1038/s41562-024-02024-1,Nature Human Behaviour,k=106 experiments (74 papers); 370 unique effect sizes; total human participant N not reported in retrieved text
10.1038/s41591-024-03456-y,Goh et al. 2025,b,positive,normal,False,with,https://doi.org/10.1038/s41591-024-03456-y,Nature Medicine,"92 physicians total (randomized evenly between LLM group and conventional resources group); 400 cases scored total: 176 from LLM-using physicians, 199 from conventional-resources physicians, 25 from LLM alone"
10.1038/s41598-025-97652-6,Kestin et al. 2025,a,positive,normal,False,after,https://doi.org/10.1038/s41598-025-97652-6,Scientific Reports,"Total N=194 eligible (of 233 enrolled); post-test analysis: AI group N=142, in-class group N=174; combined pre-test N=316 (crossover design so students contribute to both conditions)"
10.1038/s41746-021-00385-9,Gaube et al. 2021,both,null,sabotaged,False,with,https://doi.org/10.1038/s41746-021-00385-9,npj Digital Medicine,"265 physicians total; radiologists n=138 (high-expertise group), IM/EM physicians n=127 (lower-expertise group)"
10.1038/s42256-024-00976-7,Steyvers et al. 2025,b,positive,normal,False,n/a,https://doi.org/10.1038/s42256-024-00976-7,Nature Machine Intelligence,301 participants across experiments 1 and 2 (demographics obtained for 284)
10.1073/pnas.2422633122,Bastani et al. 2025,a,mixed,normal,False,after,https://doi.org/10.1073/pnas.2422633122,Proceedings of the National Academy of Sciences,"""nearly 1,000 students"" across ""about fifty 9th, 10th, and 11th-grade classes""; main student-level regression uses 2,848 observations (student-level observations, not distinct students); problem-level specifications use 13,484 and 11,392 observations; 57 practice problems analysed for GPT error rates; per-arm Ns not reported in retrieved text"
