canonical_id,title,citation,authors,year,venue,publication_status,doi,url,provenance,source_tables,source_access,design,sample,population,exposure,measures,key_finding,effect_size,limitations,caveats,randomized,outcome_timing,exposure_duration,evidence_view,evidence_role,question_family,subquestion_draft,relationship_to_question,verification_status,in_2026_09_23_map,map_placements_2026_09_23
doi:10.3389/fresc.2025.1600145,Harnessing AI for aphasia: a case report on ChatGPT's role in supporting written communication,Avery K. Allen et al. 2025,Avery K. Allen; Christine Brennan; Christina Riseman et al.,2025,Frontiers in Rehabilitation Sciences,peer-reviewed,10.3389/fresc.2025.1600145,https://doi.org/10.3389/fresc.2025.1600145,claude_science,claude_benefit_side,full text (PMC12163031),Single-case report across ten weekly clinician-guided sessions,1,One adult with chronic aphasia eight years after stroke,"ChatGPT-assisted editing of self-generated written content, guided by a visual flow chart and structured prompts, with clinician prompting and modelling",Sentence production complexity and errors plus reported confidence and later tool use,With ChatGPT the participant produced more sentences with fewer errors; self-written samples contained longer and more syntactically complex sentences; one year later he reported continued tool use,"Descriptive error rates only, e.g. '17 (5.9%) 1/32 (3.1%)' comparing first five vs final five sessions; no inferential statistics",One person with prior technology experience; no control; clinician prompting and modeling were required; changes in supported writing do not establish recovery of language capacity,n=1 case report — lowest evidence tier here; no control condition; outcome partly self-reported; included because it is nearly the only adult-impairment study with a measured language outcome that this sweep surfaced,no,with AI present across ten sessions,days-weeks,ai_studies,primary_empirical,Can AI make thinking better?,Can AI support communication when a person has aphasia?,direct evidence,content verified in analysis 22,yes,Can AI make thinking better? || Does AI help adults with cognitive or communication impairment?
doi:10.1145/3544548.3580672,"Don't Just Tell Me, Ask Me: AI Systems that Intelligently Frame Explanations as Questions Improve Human Logical Discernment Accuracy over Causal AI explanations",Valdemar Danry et al. 2023,Valdemar Danry; Pat Pataranutaporn; Yaoli Mao et al.,2023,CHI Conference on Human Factors in Computing Systems,peer-reviewed,10.1145/3544548.3580672,https://doi.org/10.1145/3544548.3580672,claude_science,claude_benefit_side,"abstract only (OpenAlex abstract; full text not retrievable — ACM DL blocked, no arXiv version found)",Randomized between-subjects experiment comparing question-framed explanations causal explanations and no feedback,204,Online adults,AI system that converts classification-relevant information into questions ('AI-framed Questioning') during a discernment task,Immediate accuracy in judging the logical validity of socially divisive statements,Question-framed AI explanations improved logical discernment relative to causal explanations from an always-correct system and no feedback,not reported in retrieved text,Single-session controlled task; always-correct AI; immediate accuracy rather than transfer or durable reasoning skill; population details were limited in the retrieved text,"Abstract only; no effect size retrieved; comparator AI is an 'always correct system', not a real-world alternative resource",yes,with AI present during one reasoning task,Single session,ai_studies,primary_empirical,Can AI make thinking better?,Can asking and prompting people to reason improve immediate reasoning?,direct evidence,content verified in analysis 22,no,
doi:10.3390/data10110172,From Offloading to Engagement: An Experimental Study on Structured Prompting and Critical Reasoning with Generative AI,Gerlich 2025,Michael Gerlich,2025,Data,peer-reviewed,10.3390/data10110172,https://doi.org/10.3390/data10110172,claude_science,claude_first_pass,full text,Four-condition cross-country experiment with expert-rated arguments,150 participants; article also reports 450 evaluated responses,Participants in Germany Switzerland and the United Kingdom,"four conditions: human-only, human + AI (unguided), human + AI (guided with structured prompting), and AI-only benchmarks",Expert-rated argument quality plus self-reported offloading engagement and difficulty,Structured prompting produced higher expert-rated argument scores than human-only and unguided-AI conditions; unguided AI also outscored human-only in the reported post-hoc test,"One-way ANOVA: F(3, 447) = 111.75, p < 0.0001, η2 = 0.43. Tukey post hoc: Human Alone vs Human+AI unguided mean difference = 2.5620, p<0.0001 (95% CI 1.4421–3.6818); Human Alone vs Human+AI guided mean difference = 7.7980, p<0.0001 (95% CI 6.6781–8.9178); Human Alone vs AI Alone mean difference = 4.9798, p=0.5508 (95% CI –4.7506–14.7102, not significant); Human+AI unguided vs guided mean difference = 5.2360, p<0.0001 (95% CI 4.1162–6.3558); Human+AI unguided vs AI Alone mean difference = 2.4179, p=0.9187 (95% CI –7.3125–12.1483, not significant); Human+AI guided vs AI Alone mean difference = –2.8181, p=0.8780 (95% CI –12.5485–6.9123, not significant)",The article reports F(3 447) despite 150 participants and does not clearly explain the 450-response unit or dependence structure; randomization and order are unclear; self-report mediation cannot establish mechanism,"self-report measure used for reflective engagement; within-subjects conditions, no explicit randomization of order stated",no,with AI present,single session,ai_studies,primary_empirical,Can AI make thinking better?,Can asking and prompting people to reason improve immediate reasoning?,direct evidence,content verified with analysis warning in analysis 20,yes,Can you tell what AI is doing to your thinking? || What happens when reasoning is scored instead of asked about?
doi:10.48550/arxiv.2309.05196,Does Writing with Language Models Reduce Content Diversity?,Vishakh Padmakumar et al. 2023,Vishakh Padmakumar; He He,2023,arXiv (preprint; subsequently presented at ICLR 2024 per the authors' listing — publication status not confirmed in retrieved record),preprint,10.48550/arxiv.2309.05196,https://doi.org/10.48550/arxiv.2309.05196,claude_science,claude_benefit_side,full text (arXiv PDF),Randomized repeated-measures writing experiment across solo GPT-3 and InstructGPT conditions,38 writers producing 300 essays,Native-English-speaking Upwork writers with writing or copyediting experience,Co-writing argumentative essays with GPT3 or InstructGPT suggestions,Cross-author similarity lexical diversity key-point diversity and decomposition of model-versus-user text,InstructGPT-assisted essays were more similar and less diverse than solo essays while GPT-3 essays were not; the reduced diversity was concentrated in model-contributed text and user-contributed text was unaffected,'key points have higher average homogenization than GPT3 (p < 0.05)'; other comparisons reported as 'statistically significant with p < 0.05' without effect magnitudes in the retrieved text,Preprint; 38 writers each produced three essays; diversity metrics partly depend on automated summarization and similarity methods; ten topics and older models,"PREPRINT; very small writer sample (n=38); diversity effect driven by model-generated text, not by change in human output",yes,with AI present during a single writing session,single session,ai_studies,primary_empirical,Can AI make thinking better?,Does AI change individual creativity or collective diversity?,direct evidence,content verified in analysis 22,yes,Can AI make thinking better? || Does everyone end up thinking the same? — CONTESTED
doi:10.1126/sciadv.adn5290,Generative AI enhances individual creativity but reduces the collective diversity of novel content,Anil R. Doshi et al. 2024,Anil R. Doshi; Oliver Hauser,2024,Science Advances,peer-reviewed,10.1126/sciadv.adn5290,https://doi.org/10.1126/sciadv.adn5290,claude_science,claude_benefit_side,full text (PMC11244532),Randomized online writing experiment plus separate evaluator study,"293 writers; 600 evaluators; 3,519 evaluations",Online adults recruited through Prolific,Option to request one or up to five GPT-4 story ideas before writing an eight-sentence story,Human ratings of story novelty usefulness quality and enjoyment plus embedding similarity across stories,AI ideas increased ratings of individual stories especially for less-creative writers while AI-assisted stories were more similar to one another,"Novelty: 'one GenAI idea condition experience an increase of 5.4% (= 0.207, = 0.021 ...)' and 'five GenAI ideas condition show an increase in novelty of 8.1% (= 0.311, < 0.001)' [coefficient/P glyphs dropped in retrieved PMC text]; collective similarity: 'the increase in similarity from having access to one or five generative AI ideas represents 10.7% and 8.9% of the total range, respectively'",Short constrained fiction task; online nonprofessional writers; collective similarity is an output-distribution measure and does not show that an individual's creative capacity changed,"Single session; collective-diversity measure is a cross-sectional similarity statistic within one experiment, not a population over time",yes,with AI present during one writing task,single session,ai_studies,primary_empirical,Can AI make thinking better?,Does AI change individual creativity or collective diversity?,direct evidence,content verified in analysis 22,yes,Can AI make thinking better? || Does everyone end up thinking the same? — CONTESTED
doi:10.1145/3635636.3656204,Homogenization Effects of Large Language Models on Human Creative Ideation,Barrett R. Anderson et al. 2024,Barrett R. Anderson; Jash Hemant Shah; Max Kreminski,2024,ACM Creativity and Cognition (C&C '24),peer-reviewed,10.1145/3635636.3656204,https://doi.org/10.1145/3635636.3656204,claude_science,claude_benefit_side,full text of the arXiv preprint version (arXiv:2402.01536) of the same work; published ACM version not retrievable,Comparative user study of ChatGPT and another creativity-support tool,36,Adult participants in a controlled ideation study,"ChatGPT used as a creativity-support tool for divergent ideation, compared against an alternative (non-LLM) CST",Idea count detail semantic similarity self-reported creativity and ownership,ChatGPT users generated more and more-detailed ideas but different users' ideas were less semantically distinct and users felt less ownership,not reported in retrieved text (numeric test statistics not isolated in the retrieved text),Very small sample; one controlled ideation setting; comparator choice matters; semantic similarity of outputs is not a direct measure of human creative capacity,Small sample (n=36); text basis is the preprint version; effect sizes not extracted,not reported,with AI present during one ideation task,single session,ai_studies,primary_empirical,Can AI make thinking better?,Does AI change individual creativity or collective diversity?,direct evidence,content verified in analysis 22,yes,Can AI make thinking better? || Does everyone end up thinking the same? — CONTESTED
doi:10.1145/3715928.3737481,"How AI Ideas Affect the Creativity, Diversity, and Evolution of Human Ideas: Evidence from a Large, Dynamic Experiment",Joshua Ashkinaze et al. 2025,Joshua Ashkinaze; Julia Mendelsohn; Li Qiwei et al.,2025,Collective Intelligence Conference (CI 2025),peer-reviewed,10.1145/3715928.3737481,https://doi.org/10.1145/3715928.3737481,claude_science,claude_benefit_side,full text of the arXiv preprint version (arXiv:2401.13481) of the same work,Randomized dynamic experiment in which prior responses became stimuli for later participants,"844 participants producing 3,414 responses across 48 countries",Online adults recruited through creativity technology and general-interest channels,"Viewing 0, few, or many ChatGPT-generated creative ideas (labelled as AI or not) before brainstorming one's own idea",Individual creativity ratings collective idea diversity change across response chains and AI-idea adoption,High AI exposure did not improve individual idea creativity and increased the amount and rate of change of collective diversity; disclosure had no main effect,not reported in retrieved text (regression coefficients present in the PDF but not isolated as an interpretable headline statistic in the retrieved extraction),One alternate-uses task; repeated responses per participant; responses were interdependent within evolving condition-specific chains; the study operationalized AI ideas in one specific way,"Direction CONTRADICTS Doshi & Hauser and Anderson et al. on collective diversity — a genuine disagreement in this literature, not a settled finding; participants produced repeated responses that were linked through condition-specific chains",yes,with AI exposure during one brainstorming session,single session,ai_studies,primary_empirical,Can AI make thinking better?,Does AI change individual creativity or collective diversity?,direct evidence,content verified and venue corrected in analysis 22,yes,Can AI make thinking better? || Does everyone end up thinking the same? — CONTESTED
doi:10.1126/science.adh2586,Experimental evidence on the productivity effects of generative artificial intelligence,Shakked Noy et al. 2023,Shakked Noy; Whitney Zhang,2023,Science,peer-reviewed,10.1126/science.adh2586,https://doi.org/10.1126/science.adh2586,claude_science,claude_benefit_side,abstract only (PubMed abstract; no PMC full text retrieved),Preregistered randomized online experiment with occupation-specific writing tasks,453,College-educated professionals,Random exposure to ChatGPT for a mid-level professional writing task,Completion time independent human-rated quality and later self-reported workplace adoption,ChatGPT reduced completion time by 40 percent and raised output quality by 18 percent while narrowing quality differences between workers,'average time taken decreased by 40% and output quality rose by 18%'; adoption '2 times as likely ... 2 weeks after' and '1.6 times as likely 2 months after'; no CI or p-value in retrieved text,Short incentivized writing tasks; cognition and unaided skill were not tested; two-week and two-month follow-ups measured reported adoption rather than retained performance,"Abstract only; the outcome is writing productivity/quality, not a direct cognitive measure; 'inequality between workers decreased' is the compensatory-use evidence and no CI is given for it in the retrieved text",yes,with AI present during work tasks,single session,ai_studies,primary_empirical,Can AI make thinking better?,Does AI improve work performance and who gains most?,direct evidence,content verified in analysis 22,yes,"Can AI make thinking better? || Who gains at work, and who doesn't?"
doi:10.1093/qje/qjae044,Generative AI at Work,Erik Brynjolfsson et al. 2025,Erik Brynjolfsson; Danielle Li; Lindsey Raymond,2025,The Quarterly Journal of Economics,peer-reviewed,10.1093/qje/qjae044,https://doi.org/10.1093/qje/qjae044,claude_science,claude_benefit_side,full text (open-access QJE version of record),Observational staggered rollout of an AI assistant in customer support with naturalistic withdrawal during software outages,"5,172 customer-support agents across 3,006,395 chats",Customer-support agents including international workers,Generative-AI-based conversational assistant deployed in live customer-support work,Administrative productivity quality escalation attrition adherence sentiment language-pattern measures and chat duration during outages,AI access increased issues resolved per hour by 15 percent on average; less-skilled and less-experienced workers gained 30 percent; during rare outages workers with longer exposure and high initial adherence retained speed gains without live recommendations,"Preferred specification: +0.301 resolutions per hour (SE 0.0329), a 15.2% increase. The final article reports a 30% increase for less-skilled and less-experienced workers. During large outages, AI-exposed agents handled chats 15%–25% faster than their pre-adoption baseline; the authors caution that outage estimates are noisy and may reflect differences in chat mix.",Rollout was not randomized; workplace outcomes are not broad cognitive tests; outage estimates were noisy and may reflect a different chat mix,Work performance with AI present over several months; chat duration also measured during rare periods when AI recommendations were unavailable,no,with AI present over several months; chat duration also measured during rare outages without live recommendations,months,ai_studies,primary_empirical,Can AI make thinking better?,Does AI improve work performance and who gains most?,direct evidence,content verified against final publication in analysis 22,yes,"Can AI make thinking better? || Who gains at work, and who doesn't?"
doi:10.1609/hcomp.v7i1.5285,Beyond Accuracy: The Role of Mental Models in Human-AI Team Performance,Gagan Bansal et al. 2019,Gagan Bansal; Besmira Nushi; Ece Kamar et al.,2019,Proceedings of the AAAI Conference on Human Computation and Crowdsourcing (HCOMP),peer-reviewed,10.1609/hcomp.v7i1.5285,https://doi.org/10.1609/hcomp.v7i1.5285,claude_science,claude_benefit_side,full text (publisher PDF via Unpaywall),Series of controlled experiments manipulating a simulated AI's error boundary,25 Mechanical Turk workers per condition; total not isolated in the retrieved text,Amazon Mechanical Turk workers,AI-advised decision making with a simulated AI whose error boundary was experimentally controlled,Mental model of the AI's errors and human-AI team accuracy,Simpler and more predictable error boundaries produced better mental models and higher team performance; performance declined as human-visible task features increased,not reported in retrieved text,Pre-LLM simulated AI; 25 workers per condition; total sample and headline effect sizes not isolated in the retrieved text,PRE-LLM (2019) and uses a SIMULATED AI; 25 workers per condition; included because domain (e) is otherwise nearly empty,yes,,Single session,ai_studies,primary_empirical,Can you tell what AI is doing to your thinking?,Can people tell when an AI is likely to be wrong?,direct evidence,content verified in analysis 20,no,
