canonical_id,citation,title,evidence_view,evidence_role,verification_status,proposed_question,proposed_subquestion,relationship_to_question,prior_map_placement,placement_status,review_note
doi:10.3389/fresc.2025.1600145,Avery K. Allen et al. 2025,Harnessing AI for aphasia: a case report on ChatGPT's role in supporting written communication,ai_studies,primary_empirical,content verified in analysis 22,Can AI make thinking better?,Can AI support communication when a person has aphasia?,direct evidence,Can AI make thinking better? || Does AI help adults with cognitive or communication impairment?,audited 2026-09-23,Single case shows supported written communication and participation during a clinician-guided intervention; it does not establish cognitive recovery.
doi:10.1145/3544548.3580672,Valdemar Danry et al. 2023,"Don't Just Tell Me, Ask Me: AI Systems that Intelligently Frame Explanations as Questions Improve Human Logical Discernment Accuracy over Causal AI explanations",ai_studies,primary_empirical,content verified in analysis 22,Can AI make thinking better?,Can asking and prompting people to reason improve immediate reasoning?,direct evidence,,audited 2026-09-23,Question-framed explanations improved immediate logical discernment compared with causal explanations and no feedback.
doi:10.3390/data10110172,Gerlich 2025,From Offloading to Engagement: An Experimental Study on Structured Prompting and Critical Reasoning with Generative AI,ai_studies,primary_empirical,content verified with analysis warning in analysis 20,Can AI make thinking better?,Can asking and prompting people to reason improve immediate reasoning?,direct evidence,Can you tell what AI is doing to your thinking? || What happens when reasoning is scored instead of asked about?,audited 2026-09-23,Structured prompting improved expert-rated arguments but the paper does not clearly reconcile participants responses and analysis units.
doi:10.48550/arxiv.2309.05196,Vishakh Padmakumar et al. 2023,Does Writing with Language Models Reduce Content Diversity?,ai_studies,primary_empirical,content verified in analysis 22,Can AI make thinking better?,Does AI change individual creativity or collective diversity?,direct evidence,Can AI make thinking better? || Does everyone end up thinking the same? — CONTESTED,audited 2026-09-23,Small repeated-measures writing study finds homogenization in the model-contributed text under InstructGPT but not GPT-3.
doi:10.1126/sciadv.adn5290,Anil R. Doshi et al. 2024,Generative AI enhances individual creativity but reduces the collective diversity of novel content,ai_studies,primary_empirical,content verified in analysis 22,Can AI make thinking better?,Does AI change individual creativity or collective diversity?,direct evidence,Can AI make thinking better? || Does everyone end up thinking the same? — CONTESTED,audited 2026-09-23,Randomized story-writing experiment finds higher-rated individual outputs and greater similarity across AI-assisted stories.
doi:10.1145/3635636.3656204,Barrett R. Anderson et al. 2024,Homogenization Effects of Large Language Models on Human Creative Ideation,ai_studies,primary_empirical,content verified in analysis 22,Can AI make thinking better?,Does AI change individual creativity or collective diversity?,direct evidence,Can AI make thinking better? || Does everyone end up thinking the same? — CONTESTED,audited 2026-09-23,Small ideation study finds more detailed ideas and greater cross-user similarity with ChatGPT than another creativity-support tool.
doi:10.1145/3715928.3737481,Joshua Ashkinaze et al. 2025,"How AI Ideas Affect the Creativity, Diversity, and Evolution of Human Ideas: Evidence from a Large, Dynamic Experiment",ai_studies,primary_empirical,content verified and venue corrected in analysis 22,Can AI make thinking better?,Does AI change individual creativity or collective diversity?,direct evidence,Can AI make thinking better? || Does everyone end up thinking the same? — CONTESTED,audited 2026-09-23,Dynamic experiment contradicts a simple homogenization story: high AI exposure increased collective idea diversity without improving individual idea creativity.
doi:10.1126/science.adh2586,Shakked Noy et al. 2023,Experimental evidence on the productivity effects of generative artificial intelligence,ai_studies,primary_empirical,content verified in analysis 22,Can AI make thinking better?,Does AI improve work performance and who gains most?,direct evidence,"Can AI make thinking better? || Who gains at work, and who doesn't?",audited 2026-09-23,Randomized professional-writing experiment measures speed and output quality during AI access rather than durable cognitive change.
doi:10.1093/qje/qjae044,Erik Brynjolfsson et al. 2025,Generative AI at Work,ai_studies,primary_empirical,content verified against final publication in analysis 22,Can AI make thinking better?,Does AI improve work performance and who gains most?,direct evidence,"Can AI make thinking better? || Who gains at work, and who doesn't?",audited 2026-09-23,Staggered workplace rollout shows larger productivity gains for novice and lower-skilled agents but no direct cognitive test.
doi:10.1609/hcomp.v7i1.5285,Gagan Bansal et al. 2019,Beyond Accuracy: The Role of Mental Models in Human-AI Team Performance,ai_studies,primary_empirical,content verified in analysis 20,Can you tell what AI is doing to your thinking?,Can people tell when an AI is likely to be wrong?,direct evidence,,audited 2026-09-23,Simulated-AI experiments test whether people can form useful mental models of the model's error boundary.
doi:10.1038/s42256-024-00976-7,Mark Steyvers et al. 2025,What large language models know and what people think they know,ai_studies,primary_empirical,content verified in analysis 20,Can you tell what AI is doing to your thinking?,Can people tell when an AI is likely to be wrong?,direct evidence,"Can you tell what AI is doing to your thinking? || How well calibrated are people, when measured?",audited 2026-09-23,Direct calibration study of people's estimates of LLM answer accuracy and how explanations affect those estimates.
