doi,cite,year,venue,src,basis,task,signal,measure,domain,measure_type,instrument_named,gap,gap_note
10.1126/science.1207745,Sparrow et al. 2011,2011,Science,main,abstract only,not stated,memory encoding of information vs. its location,not stated,memory,unclear,False,unclear,"Record gives only a summary finding; no task, measure, or instrument details are reported to assess the gap."
10.3758/s13423-022-02139-4,Gilbert et al. 2022,2022,Psychonomic Bulletin & Review,main,full text,"performed lab intention-offloading tasks (reminder-setting, prospective memory)",metacognitive control of memory offloading,"reminder-setting rate, prospective memory accuracy, confidence ratings, fMRI MVPA",metacognition,performance_with_tool,True,assisted_for_durable,"Reminder-setting behaviour under tool availability is measured, used to infer durable metacognitive beliefs/strategies about memory ability."
10.48550/arxiv.2408.04681,Chan et al. 2024,2024,arXiv (Cornell University),main,full text,answered yes/no questions about a crime video via chatbot/survey,false memory formation and persistence,count of misleading questions rated >4 on 7-point recognition scale plus confidence rating,memory,behavioural_trace,False,none,Measure (endorsement of misleading items on follow-up scale) directly operationalizes the signal (false memories induced).
10.3389/fpsyg.2026.1878629,Zhu et al. 2026,2026,Frontiers in Psychology,main,full text,completed self-report surveys on AI use across 3 waves,"cognitive agency, autonomy, and downstream cognitive capability","self-report Likert scales on offloading, motivation, and cognitive outcomes",self_reported_habit,self_report,True,self_for_actual,"'Subsequent autonomous capability', 'creativity', 'deep processing', 'independent judgment' all measured via self-report scales, not actual performance"
10.3389/fpsyg.2026.1910545,Liu et al. 2026,2026,Frontiers in Psychology,main,abstract only,wrote essays under AI or no-AI writing conditions,reasoning capacity/skill retention after AI use,"reasoning quality, idea diversity, originality rated 1-7 by blind raters on unaided transfer essay",reasoning_critical,product_quality,False,product_for_process,Essay quality rated by raters stands in for reasoning quality; a thinking process is inferred from written product.
10.1145/3772318.3791863,Zhou et al. 2026,2026,,main,abstract only,composed eyewitness recall statements using GPT after watching a robbery video,eyewitness memory accuracy and belief formation,"subjective clarity, trust in GPT output, recall-clarity alignment, legitimacy judgments, interaction strategies",memory,self_report,False,self_for_actual,"Actual recall inferred via 'alignment' with self-reported 'subjective clarity of understanding', not independently verified against event facts."
10.1371/journal.pone.0304013,Pardos et al. 2024,2024,PLoS ONE,main,full text,"solved algebra/statistics problems with pre/post-test, using hints",learning from tutoring hints,pre-test to post-test score gain on 3-item tests,learning_transfer,performance_without_tool,False,assisted_for_durable,Post-test given immediately after hint-assisted practice; durable/transferable learning inferred from short-term gain score.
10.48550/arxiv.2409.09047,Lehmann et al. 2024,2024,arXiv (Cornell University),main,full text,"answered programming quiz questions and coding assignments, with/without ChatGPT",learning of programming knowledge/skills,"post-test score, learning-phase question volume, and coding assignment grade/ChatGPT similarity",learning_transfer,performance_without_tool,False,assisted_for_durable,"Post-test given after tool removed, but 'topic volume' scored during Learning Phase while ChatGPT access was active, treated as learning evidence."
10.1186/s12909-024-06399-7,Brügge et al. 2024,2024,BMC Medical Education,main,full text,conducted simulated patient history-taking chats across four scenarios,clinical decision-making/clinical reasoning ability,CRI-HTI ratings of chat transcripts by two blinded raters,domain_skill,product_quality,True,product_for_process,"Reasoning inferred from rater-scored transcripts of conversation output, not from direct observation of decision-making process."
10.1016/j.chb.2024.108386,Stadler et al. 2024,2024,Computers in Human Behavior,main,abstract only,wrote recommendations/justifications on sunscreen nanoparticles using ChatGPT3.5 or Google,reasoning and argumentation quality,cognitive load and rated quality/homogeneity of written recommendations and justifications,reasoning_critical,product_quality,False,product_for_process,"""quality... of students' recommendations and justifications"" scored; reasoning process inferred from written product, not directly assessed."
10.1111/bjet.13544,Fan et al. 2024,2024,British Journal of Educational Technology,main,abstract only,"wrote essays with ChatGPT, human expert, or writing tools",self-regulated learning and knowledge transfer,"essay score improvement, knowledge gain/transfer tests, SRL process log frequency/sequences",learning_transfer,performance_with_tool,False,assisted_for_durable,"Essay improvement scored 'during' ChatGPT support; knowledge gain/transfer (durable learning) 'not significantly different', flagged as possible 'metacognitive laziness'."
